seed,policy,ep_idx,friction,inertia,noise,reward,violation
1,Oracle,3,0.7,1.0,0.06363013143814998,-0.12075502723104847,0
1,Oracle,4,1.0,2.0,0.06539624549822166,-0.308039067296882,1
1,Oracle,5,0.7,2.0,0.06453938748557937,-0.22395126478900007,0
1,Oracle,6,0.7,2.0,0.08475937294384765,-0.23582683039543753,1
1,Oracle,7,0.7,1.0,0.05850854927391651,-0.11865519244679246,0
1,Oracle,8,1.0,2.0,0.057768320172406365,-0.30938156324921295,1
1,Oracle,9,1.0,2.0,0.06892960668515388,-0.31214626146884494,1
1,Oracle,10,1.0,2.0,0.06383680041223927,-0.3145226800345765,1
1,Oracle,11,0.7,1.0,0.05162337064761829,-0.12383429273608895,0
1,Oracle,12,0.7,1.0,0.05037553973248208,-0.12362888495955239,0
1,Oracle,13,0.4,0.8,0.07839658189314819,-0.08125703139612166,0
1,Oracle,14,1.0,1.0,0.0866270999186721,-0.15275449926211637,0
1,Oracle,15,0.4,0.8,0.08911657094491474,-0.07505617908152215,0
1,Oracle,16,1.0,1.0,0.08124530860369882,-0.1548682480752488,0
1,Oracle,17,0.7,0.8,0.055282932775136434,-0.1012075418202985,0
1,Oracle,18,1.0,0.8,0.08648624695200452,-0.1253112714815973,0
1,Oracle,19,0.7,0.8,0.08228029317449974,-0.10372980852059226,0
1,Oracle,20,0.7,2.0,0.057686684378124554,-0.22554721048393767,0
1,Oracle,21,0.7,0.8,0.07617765322390072,-0.10118523488275881,0
1,Oracle,22,0.4,2.0,0.08837395623883515,-0.17551530892253364,1
1,Oracle,23,0.7,0.8,0.06262720779776157,-0.0976000911089724,0
1,Oracle,24,0.4,0.8,0.08169088187300527,-0.07625655066667691,0
1,Oracle,25,0.4,0.8,0.08613618248240137,-0.08254157252919583,0
1,Oracle,26,0.4,2.0,0.08320642255618682,-0.16626032234269295,1
1,Oracle,27,0.4,2.0,0.05898805623891374,-0.1725935447220897,1
1,Oracle,28,0.7,0.8,0.050519383633738785,-0.10064263284948907,0
1,Oracle,29,1.0,0.8,0.08568160332073743,-0.12458846148878247,0
2,Fixed,0,0.7,2.0,0.08873422948367579,-0.36455103000863687,1
2,Fixed,1,0.7,0.8,0.06114397783881388,-0.2026788979767498,1
2,Fixed,2,0.7,1.0,0.07784610634145511,-0.23920732082561394,1
2,Fixed,3,0.7,1.0,0.08470140580803201,-0.24035143372643863,1
2,Fixed,4,0.7,1.0,0.05043749345908913,-0.24820598782171494,1
2,Fixed,5,0.7,1.0,0.08645324336158983,-0.24140775217928073,1
2,Fixed,6,0.7,0.8,0.06772120893797759,-0.20240344242324504,0
2,Fixed,7,0.7,0.8,0.0688488002823859,-0.20216139660794552,1
2,Fixed,8,0.4,1.0,0.05360093409389547,-0.20538044631885685,0
2,Fixed,9,0.7,0.8,0.07765048383772015,-0.20441542761607845,1
2,Fixed,10,1.0,0.8,0.07109452439038581,-0.26847036476377006,1
2,Fixed,11,0.4,2.0,0.06761220007442081,-0.2520169376676896,1
2,Fixed,12,0.7,2.0,0.0898054657330627,-0.37128343215315013,1
2,Fixed,13,1.0,1.0,0.05949225066604838,-0.3187665992956824,1
2,Fixed,14,1.0,2.0,0.06241383602982997,-0.4778357502971107,1
2,Fixed,15,1.0,0.8,0.06752486043046622,-0.2660041083712982,1
2,Fixed,16,1.0,0.8,0.07990586123582574,-0.26998693505773214,1
2,Fixed,17,0.7,0.8,0.07857890940078274,-0.20138285354405142,0
2,Fixed,18,0.7,0.8,0.08774730084868648,-0.19866340027729273,0
2,Fixed,19,0.4,1.0,0.06645239067872677,-0.20448090765573534,0
2,Fixed,20,1.0,1.0,0.05554648112314484,-0.3203782429440454,1
2,Fixed,21,0.4,0.8,0.0773311535781603,-0.16265984661263153,0
2,Fixed,22,1.0,2.0,0.06367048351205529,-0.45681168046936327,1
2,Fixed,23,0.4,0.8,0.08265133020932355,-0.16334998565387793,0
2,Fixed,24,0.7,0.8,0.06380411468354134,-0.20497436946718348,1
2,Fixed,25,1.0,1.0,0.06786920035283929,-0.3160627838792119,1
2,Fixed,26,0.4,1.0,0.055435611913518736,-0.20873612515328854,0
2,Fixed,27,0.7,1.0,0.060396548718099546,-0.2414009449365819,1
2,Fixed,28,0.4,2.0,0.06598689795311832,-0.2427251022883944,1
2,Fixed,29,0.7,2.0,0.056036777754597936,-0.3744699037628824,1
2,EpsilonGreedy,0,0.7,2.0,0.08873422948367579,-0.27020937577138404,1
2,EpsilonGreedy,1,0.7,0.8,0.06114397783881388,-0.10135081046339647,0
2,EpsilonGreedy,2,0.7,1.0,0.07784610634145511,-0.11963773699692373,0
